feature_index,importance
9533,0.0029228738120144486
5297,0.0025901184930960212
6284,0.002300813997423154
5783,0.002281616585146572
2991,0.002208301197155733
5102,0.0021721666077186065
9349,0.0020592420234409794
7422,0.002054277528447127
3774,0.002006648617036575
837,0.0019721259143484398
7956,0.0019371651911121613
8088,0.0019273187129001182
695,0.0019019440870423976
1504,0.0018736446091412494
9447,0.001873449912332658
9290,0.001869053700017142
9589,0.0018471873227233588
460,0.0018239257249967138
2515,0.001796192670752824
7940,0.0017805386002286256
1918,0.0017613273868689653
2754,0.0017477309169222658
4067,0.0017355856728107294
1810,0.0017155618600766037
5922,0.0017124359961753083
2493,0.0016925795542136158
9476,0.0016598014416575602
8585,0.0016578059882827317
2878,0.0016552224736162105
6769,0.0016491381733708982
8948,0.0016412042491385154
7562,0.001639858597049871
8304,0.0016395686078936223
9823,0.0015799960206205493
9752,0.0015358044231372112
3859,0.0015134856629507568
7347,0.001511879499688789
3812,0.0015112255505565755
1793,0.001501988817056029
4055,0.0014941310587001742
5362,0.0014799710765691593
542,0.0014777874345256864
4214,0.0014755814595110665
438,0.0014721969758731295
1700,0.0014515401001829178
5680,0.001440146027222805
3456,0.0014376921181671568
7312,0.0014330486798105676
924,0.0013713290211958317
8191,0.00137066126831719
7117,0.0013674216477958393
3394,0.0013624480574197663
72,0.0013368214464210568
2776,0.0013337414434571183
965,0.001333657442263026
7314,0.0013322243059507152
9361,0.0013191483371076784
9559,0.001306055508671474
5155,0.0013059904833213115
8128,0.0013036625473452042
8752,0.0012997547418235648
3745,0.0012884403919600524
7361,0.0012884183794964685
4098,0.0012756694937063626
4459,0.001272307210317709
2803,0.0012715494364867084
9526,0.0012712367588437856
1238,0.001270644040746021
9999,0.0012674612173857486
4629,0.001261880763185897
1008,0.0012448853897063644
8692,0.0012405250965294512
1485,0.0012298295564847621
2419,0.0012179866567566288
166,0.0012119867973833848
3193,0.0012079924510195364
4986,0.0011995312061377215
3021,0.0011957409400265467
7526,0.0011885806985188541
8302,0.0011769407116842734
2063,0.0011755395115811407
183,0.0011689408609388207
7456,0.0011672382777945618
4533,0.0011663172185170697
6819,0.0011647237705437366
912,0.001160688182701616
4471,0.0011588321986734087
3501,0.0011495214366729698
5639,0.001144810933947197
1822,0.0011273014793878613
3557,0.001117187909384864
6797,0.0011107413749615717
8458,0.0011095150251007654
6732,0.0011076519652707508
8580,0.0011063836757842591
3081,0.0011007507665946868
8893,0.0010950641734785117
2863,0.0010935160832581344
9574,0.0010896061455681035
1131,0.0010868412391956553
3274,0.001084587963265507
8892,0.0010708963575285714
952,0.0010685034092359409
2811,0.001066219158588868
7915,0.0010602500365487592
239,0.0010561245832097898
8635,0.0010490714012935567
3046,0.0010443773041154585
8373,0.0010415635133491123
5203,0.0010356630040409048
9584,0.00102924515020308
6978,0.0010200388451159698
4364,0.0010100938466083742
5993,0.0010095294947172274
4585,0.0010075302177096593
6439,0.0010024895180683149
3582,0.0009997966427664725
8700,0.0009866033883909036
9046,0.0009830142271598054
4991,0.0009784129825124303
6244,0.0009769984914485448
6453,0.0009725141073598445
730,0.0009719138921819483
8037,0.0009646050028267703
3353,0.0009567345025887016
5626,0.0009561877233728989
1397,0.000955398086387888
5118,0.0009539430487982384
4080,0.0009522227321319116
9415,0.0009506068548827748
5227,0.0009502524117846905
1059,0.0009489924357368343
7823,0.000939979505167865
4658,0.0009350543055514533
1204,0.0009324221246830061
7124,0.0009320983598264882
6877,0.0009319538243629079
